Store,Dept,Date,Weekly_Sales,IsHoliday
37,11,10/06/2011,1645.45,False
37,11,17/06/2011,1759.61,False
37,11,24/06/2011,1792.78,False
37,11,01/07/2011,1997.18,False
37,11,08/07/2011,1860.57,False
37,11,15/07/2011,1296.76,False
37,11,22/07/2011,1719.46,False
37,11,29/07/2011,1623.2,False
37,11,05/08/2011,2278.57,False
37,11,12/08/2011,2012.1,False
37,11,19/08/2011,2389.29,False
37,11,26/08/2011,2449.36,False
37,11,02/09/2011,2100.92,False
37,11,09/09/2011,1726.87,True
37,11,16/09/2011,1299.31,False
37,11,23/09/2011,1542.41,False
37,11,30/09/2011,1760.12,False
37,11,07/10/2011,1539.59,False
37,11,14/10/2011,1246.27,False
37,11,21/10/2011,1653.05,False
37,11,28/10/2011,1547.02,False
37,11,04/11/2011,2203.6,False
37,11,11/11/2011,1970.37,False
37,11,18/11/2011,1438.5,False
37,11,25/11/2011,1933.24,True
37,11,02/12/2011,2987.51,False
37,11,09/12/2011,3373.68,False
37,11,16/12/2011,1834.91,False
37,11,23/12/2011,2331.52,False
37,11,30/12/2011,2214.37,True
37,11,06/01/2012,2379.15,False
37,11,13/01/2012,2340.66,False
37,11,20/01/2012,2005.71,False
37,11,27/01/2012,1708.32,False
37,11,03/02/2012,1548.94,False
37,11,10/02/2012,1465.48,True
37,11,17/02/2012,1668.52,False
37,11,24/02/2012,1389.23,False
37,11,02/03/2012,1564.86,False
37,11,09/03/2012,1392.02,False
37,11,16/03/2012,1514.77,False
37,11,23/03/2012,1644.43,False
37,11,30/03/2012,1937.74,False
37,11,06/04/2012,1719.93,False
37,11,13/04/2012,1584.17,False
37,11,20/04/2012,1558.57,False
37,11,27/04/2012,1275.95,False
37,11,04/05/2012,1766.61,False
37,11,11/05/2012,1705.58,False
37,11,18/05/2012,1524.67,False
37,11,25/05/2012,1523.05,False
37,11,01/06/2012,1925.46,False
37,11,08/06/2012,1863.45,False
37,11,15/06/2012,1996.24,False
37,11,22/06/2012,1335.82,False
37,11,29/06/2012,1815.5,False
37,11,06/07/2012,1531.11,False
37,11,13/07/2012,1599.96,False
37,11,20/07/2012,1534.95,False
37,11,27/07/2012,2111.53,False
37,11,03/08/2012,1960.05,False
37,11,10/08/2012,1876.59,False
37,11,17/08/2012,1981.81,False
37,11,24/08/2012,1712.55,False
37,11,31/08/2012,1970.23,False
37,11,07/09/2012,1717.75,True
37,11,14/09/2012,1824.92,False
37,11,21/09/2012,2180.01,False
37,11,28/09/2012,1762.8,False
37,11,05/10/2012,1322.42,False
37,11,12/10/2012,1741.86,False
37,11,19/10/2012,1928.96,False
37,11,26/10/2012,1618.04,False
37,12,05/02/2010,132.36,False
37,12,12/02/2010,106.2,True
37,12,19/02/2010,84.88,False
37,12,26/02/2010,126.53,False
37,12,05/03/2010,110.92,False
37,12,12/03/2010,111.31,False
37,12,19/03/2010,89.03,False
37,12,26/03/2010,118.1,False
37,12,02/04/2010,172.4,False
37,12,09/04/2010,113.66,False
37,12,16/04/2010,217.07,False
37,12,23/04/2010,141.34,False
37,12,30/04/2010,122.44,False
37,12,07/05/2010,146.33,False
37,12,14/05/2010,121.11,False
37,12,21/05/2010,151.54,False
37,12,28/05/2010,172.9,False
37,12,04/06/2010,205.35,False
37,12,11/06/2010,157.74,False
37,12,18/06/2010,159.3,False
37,12,25/06/2010,188.24,False
37,12,02/07/2010,164.53,False
37,12,09/07/2010,172.79,False
37,12,16/07/2010,145.41,False
37,12,23/07/2010,156.17,False
37,12,30/07/2010,167.59,False
37,12,06/08/2010,167.54,False
37,12,13/08/2010,150.96,False
37,12,20/08/2010,217.48,False
37,12,27/08/2010,176.56,False
37,12,03/09/2010,181.21,False
37,12,10/09/2010,151.49,True
37,12,17/09/2010,162.71,False
37,12,24/09/2010,118.92,False
37,12,01/10/2010,172.88,False
37,12,08/10/2010,149.04,False
37,12,15/10/2010,114.84,False
37,12,22/10/2010,148.1,False
37,12,29/10/2010,155.41,False
37,12,05/11/2010,157.22,False
37,12,12/11/2010,87.83,False
37,12,19/11/2010,143.09,False
37,12,26/11/2010,135.87,True
37,12,03/12/2010,140.54,False
37,12,10/12/2010,149.15,False
37,12,17/12/2010,155.21,False
37,12,24/12/2010,105.8,False
37,12,31/12/2010,85.73,True
37,12,07/01/2011,128.29,False
37,12,14/01/2011,157.37,False
37,12,21/01/2011,92.7,False
37,12,28/01/2011,90.89,False
37,12,04/02/2011,154.71,False
37,12,11/02/2011,83.92,True
37,12,18/02/2011,141.56,False
37,12,25/02/2011,104.93,False
37,12,04/03/2011,140.35,False
37,12,11/03/2011,107.9,False
37,12,18/03/2011,100.16,False
37,12,25/03/2011,158.68,False
37,12,01/04/2011,61.18,False
37,12,08/04/2011,133.04,False
37,12,15/04/2011,148.81,False
37,12,22/04/2011,150.3,False
37,12,29/04/2011,132.69,False
37,12,06/05/2011,114.73,False
37,12,13/05/2011,94.29,False
37,12,20/05/2011,122.35,False
37,12,27/05/2011,158.12,False
37,12,03/06/2011,77.56,False
37,12,10/06/2011,139.63,False
37,12,17/06/2011,151.82,False
37,12,24/06/2011,166.31,False
37,12,01/07/2011,139.82,False
37,12,08/07/2011,106.58,False
37,12,15/07/2011,196.08,False
37,12,22/07/2011,91.55,False
37,12,29/07/2011,192.93,False
37,12,05/08/2011,156.16,False
37,12,12/08/2011,149.09,False
37,12,19/08/2011,286.45,False
37,12,26/08/2011,277.15,False
37,12,02/09/2011,198.22,False
37,12,09/09/2011,205.71,True
37,12,16/09/2011,196.73,False
37,12,23/09/2011,210.39,False
37,12,30/09/2011,292.32,False
37,12,07/10/2011,180.64,False
37,12,14/10/2011,262.0,False
37,12,21/10/2011,224.5,False
37,12,28/10/2011,269.54,False
37,12,04/11/2011,235.07,False
37,12,11/11/2011,271.54,False
37,12,18/11/2011,213.76,False
37,12,25/11/2011,152.1,True
37,12,02/12/2011,222.95,False
37,12,09/12/2011,247.27,False
37,12,16/12/2011,322.32,False
37,12,23/12/2011,241.72,False
37,12,30/12/2011,186.15,True
37,12,06/01/2012,243.77,False
37,12,13/01/2012,203.85,False
37,12,20/01/2012,185.76,False
37,12,27/01/2012,218.79,False
37,12,03/02/2012,246.23,False
37,12,10/02/2012,221.12,True
37,12,17/02/2012,225.63,False
37,12,24/02/2012,254.3,False
37,12,02/03/2012,188.96,False
37,12,09/03/2012,250.82,False
37,12,16/03/2012,241.79,False
37,12,23/03/2012,235.05,False
37,12,30/03/2012,197.28,False
37,12,06/04/2012,182.19,False
37,12,13/04/2012,167.86,False
37,12,20/04/2012,161.67,False
37,12,27/04/2012,200.38,False
37,12,04/05/2012,126.88,False
37,12,11/05/2012,295.66,False
37,12,18/05/2012,264.31,False
37,12,25/05/2012,248.74,False
37,12,01/06/2012,247.78,False
37,12,08/06/2012,249.04,False
37,12,15/06/2012,248.33,False
37,12,22/06/2012,233.64,False
37,12,29/06/2012,259.62,False
37,12,06/07/2012,212.79,False
37,12,13/07/2012,224.18,False
37,12,20/07/2012,318.58,False
37,12,27/07/2012,317.12,False
37,12,03/08/2012,234.26,False
37,12,10/08/2012,254.61,False
37,12,17/08/2012,274.32,False
37,12,24/08/2012,366.15,False
37,12,31/08/2012,258.17,False
37,12,07/09/2012,216.52,True
37,12,14/09/2012,282.32,False
37,12,21/09/2012,164.18,False
37,12,28/09/2012,240.11,False
37,12,05/10/2012,289.86,False
37,12,12/10/2012,246.96,False
37,12,19/10/2012,269.22,False
37,12,26/10/2012,240.25,False
37,13,05/02/2010,16009.78,False
37,13,12/02/2010,14694.56,True
37,13,19/02/2010,16215.75,False
37,13,26/02/2010,16313.72,False
37,13,05/03/2010,16028.63,False
37,13,12/03/2010,17032.08,False
37,13,19/03/2010,16043.4,False
37,13,26/03/2010,17241.2,False
37,13,02/04/2010,16586.24,False
37,13,09/04/2010,15950.83,False
37,13,16/04/2010,17064.9,False
37,13,23/04/2010,17197.58,False
37,13,30/04/2010,17783.12,False
37,13,07/05/2010,17625.8,False
37,13,14/05/2010,16106.18,False
37,13,21/05/2010,16150.49,False
37,13,28/05/2010,17215.54,False
37,13,04/06/2010,16732.99,False
37,13,11/06/2010,16373.42,False
37,13,18/06/2010,16436.85,False
37,13,25/06/2010,15759.23,False
37,13,02/07/2010,16568.3,False
37,13,09/07/2010,17318.48,False
37,13,16/07/2010,17429.79,False
37,13,23/07/2010,17107.08,False
37,13,30/07/2010,17384.95,False
37,13,06/08/2010,16382.47,False
37,13,13/08/2010,16973.35,False
37,13,20/08/2010,16420.34,False
37,13,27/08/2010,17417.49,False
37,13,03/09/2010,17150.29,False
37,13,10/09/2010,17487.75,True
37,13,17/09/2010,16786.41,False
37,13,24/09/2010,16746.27,False
37,13,01/10/2010,16877.95,False
